seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
AGENT,1.0,BHK,Independent Floor,Preet Vihar,"7,500",600.0,Semi-Furnished,1 bathrooms,28.6414176,77.2952819
AGENT,2.0,BHK,Independent Floor,Preet Vihar,"13,000",900.0,Furnished,2 bathrooms,28.6414176,77.2952819
AGENT,2.0,BHK,Independent Floor,Preet Vihar,"13,000",1000.0,Semi-Furnished,2 bathrooms,28.6414176,77.2952819
AGENT,1.0,BHK,Independent Floor,Preet Vihar,"8,000",600.0,Semi-Furnished,1 bathrooms,28.6414176,77.2952819
AGENT,3.0,BHK,Independent Floor,Preet Vihar,"20,000",1500.0,Semi-Furnished,2 bathrooms,28.6414176,77.2952819
AGENT,1.0,RK,Studio Apartment,Saket,"13,000",400.0,Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,1.0,RK,Studio Apartment,Saket,"13,000",400.0,Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,1.0,BHK,Apartment,Saket,"8,500",600.0,Semi-Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,2.0,BHK,Apartment,Kalkaji,"25,500",1000.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,3.0,BHK,Independent Floor,Kalkaji,"13,000",1200.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Govindpuri,"7,500",550.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,RK,Studio Apartment,Govindpuri,"5,500",400.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,3.0,BHK,Independent Floor,Kalkaji,"8,500",750.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Independent Floor,Kalkaji,"9,000",650.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Kalkaji,"7,500",550.0,Semi-Furnished,1 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Independent Floor,Kalkaji,"7,800",700.0,Semi-Furnished,1 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Independent Floor,Kalkaji,"10,000",700.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Kalkaji,"7,000",480.0,Semi-Furnished,1 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Govindpuri,"10,000",600.0,Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,RK,Studio Apartment,Govindpuri,"4,500",350.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,1.0,RK,Studio Apartment,Kalkaji,"5,500",400.0,Semi-Furnished,1 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Apartment,Kalkaji,"25,000",1000.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,3.0,BHK,Independent Floor,Govindpuri,"11,000",1050.0,Semi-Furnished,2 bathrooms,26.4536771,80.312879
AGENT,1.0,BHK,Independent Floor,Govindpuri,"7,000",500.0,Semi-Furnished,1 bathrooms,26.4536771,80.312879
AGENT,2.0,BHK,Independent Floor,Kalkaji,"8,000",600.0,Semi-Furnished,1 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Apartment,Kalkaji,"27,500",1100.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,2.0,BHK,Apartment,Kalkaji,"29,000",1100.0,Semi-Furnished,2 bathrooms,28.5469476,77.258801
AGENT,1.0,RK,Studio Apartment,Kalkaji,"5,000",500.0,Semi-Furnished,1 bathrooms,28.5469476,77.258801
AGENT,1.0,BHK,Independent Floor,Subhash Nagar,"16,000",500.0,Furnished,1 bathrooms,28.6404593,77.1051815
AGENT,1.0,BHK,Independent Floor,Neb Sarai,"10,000",500.0,Furnished,1 bathrooms,28.5055007,77.2014964
AGENT,1.0,BHK,Independent Floor,Chattarpur,"9,500",700.0,Semi-Furnished,1 bathrooms,28.503846,77.183032
AGENT,1.0,BHK,Independent Floor,Chattarpur,"8,500",600.0,Semi-Furnished,1 bathrooms,28.503846,77.183032
AGENT,1.0,BHK,Independent Floor,Chattarpur,"9,000",700.0,Semi-Furnished,1 bathrooms,28.503846,77.183032
AGENT,3.0,BHK,Independent Floor,vikaspuri,"32,000",1850.0,Semi-Furnished,3 bathrooms,28.6386159,77.0731564
AGENT,1.0,BHK,Independent Floor,vikaspuri,"17,000",850.0,Semi-Furnished,2 bathrooms,28.6386159,77.0731564
AGENT,3.0,BHK,Independent Floor,East of Kailash,"75,000",1800.0,Semi-Furnished,4 bathrooms,28.557032200000002,77.24461392068525
AGENT,3.0,BHK,Independent Floor,East of Kailash,"65,000",1800.0,Semi-Furnished,3 bathrooms,28.557032200000002,77.24461392068525
AGENT,3.0,BHK,Independent Floor,Hauz Khas,"60,000",2000.0,Semi-Furnished,3 bathrooms,28.54980865,77.20776381852018
AGENT,3.0,BHK,Independent Floor,Vasant Vihar,1.2,3600.0,Unfurnished,4 bathrooms,28.5602932,77.1628475
AGENT,2.0,BHK,Independent Floor,Green Park,"35,000",1440.0,Semi-Furnished,2 bathrooms,51.5066192,-0.1429113
AGENT,4.0,BHK,Independent Floor,Greater kailash 1,1.1,3240.0,Furnished,5 bathrooms,28.5492792,77.258981
AGENT,1.0,RK,Studio Apartment,Vikas Puri,"17,000",950.0,Semi-Furnished,2 bathrooms,28.966740899999998,77.70902594647552
AGENT,4.0,BHK,Independent Floor,vikaspuri,"45,000",2250.0,Semi-Furnished,3 bathrooms,28.6386159,77.0731564
AGENT,3.0,BHK,Apartment,vikaspuri,"20,000",1000.0,Semi-Furnished,2 bathrooms,28.6386159,77.0731564
AGENT,2.0,BHK,Apartment,vikaspuri,"13,000",750.0,Semi-Furnished,2 bathrooms,28.6386159,77.0731564
AGENT,2.0,BHK,Independent Floor,vikaspuri,"18,000",850.0,Semi-Furnished,2 bathrooms,28.6386159,77.0731564
AGENT,2.0,BHK,Apartment,Vikas Puri,"18,000",750.0,Semi-Furnished,2 bathrooms,28.966740899999998,77.70902594647552
AGENT,3.0,BHK,Independent Floor,vikaspuri,"25,000",1850.0,Semi-Furnished,3 bathrooms,28.6386159,77.0731564
AGENT,2.0,BHK,Independent Floor,vikaspuri,"25,000",1250.0,Semi-Furnished,2 bathrooms,28.6386159,77.0731564
AGENT,3.0,BHK,Apartment,vikaspuri,"18,000",1150.0,Semi-Furnished,2 bathrooms,28.6386159,77.0731564
AGENT,1.0,BHK,Independent Floor,Neb Sarai,"9,000",500.0,Semi-Furnished,1 bathrooms,28.5055007,77.2014964
AGENT,3.0,BHK,Independent Floor,Safdarjung Enclave,"43,000",1350.0,Semi-Furnished,3 bathrooms,28.56502,77.1925584
AGENT,3.0,BHK,Independent Floor,Vasant Vihar,1.25,3600.0,Semi-Furnished,3 bathrooms,28.5602932,77.1628475
AGENT,3.0,BHK,Independent Floor,Vasant Vihar,1.75,4500.0,Semi-Furnished,3 bathrooms,28.5602932,77.1628475
AGENT,1.0,RK,Studio Apartment,Saket,"5,000",300.0,Semi-Furnished,1 bathrooms,28.5244107,77.2137253
AGENT,3.0,BHK,Independent Floor,Vasant Vihar,1,3600.0,Furnished,3 bathrooms,28.5602932,77.1628475
AGENT,3.0,BHK,Independent Floor,Uttam Nagar,"17,000",900.0,Semi-Furnished,2 bathrooms,28.6215226,77.0611064
AGENT,3.0,BHK,Independent Floor,Uttam Nagar,"17,000",900.0,Semi-Furnished,2 bathrooms,28.6215226,77.0611064
AGENT,3.0,BHK,Apartment,Sector 28 Rohini,"18,000",1680.0,Semi-Furnished,2 bathrooms,28.75689405,77.10273877159042
AGENT,3.0,BHK,Independent Floor,Pitampura,"30,500",1350.0,Semi-Furnished,3 bathrooms,28.6995123,77.1301047
AGENT,1.0,BHK,Independent Floor,Chattarpur,"13,000",600.0,Furnished,1 bathrooms,28.503846,77.183032
AGENT,1.0,BHK,Independent Floor,Chattarpur,"12,500",600.0,Furnished,1 bathrooms,28.503846,77.183032
AGENT,1.0,BHK,Independent Floor,Chattarpur,"8,500",545.0,Unfurnished,1 bathrooms,28.503846,77.183032
AGENT,2.0,BHK,Independent Floor,Chattarpur,"12,500",800.0,Unfurnished,2 bathrooms,28.503846,77.183032
AGENT,3.0,BHK,Independent Floor,Chattarpur,"20,000",1250.0,Unfurnished,2 bathrooms,28.503846,77.183032
AGENT,2.0,BHK,Apartment,Saket,"18,000",1100.0,Furnished,2 bathrooms,28.5244107,77.2137253
AGENT,2.0,BHK,Apartment,Saket,"15,000",1100.0,Furnished,2 bathrooms,28.5244107,77.2137253
AGENT,1.0,RK,Studio Apartment,Neb Sarai,"5,000",300.0,Semi-Furnished,1 bathrooms,28.5055007,77.2014964
AGENT,2.0,BHK,Independent Floor,mayur vihar phase 1,"9,400",450.0,Unfurnished,1 bathrooms,28.6036425,77.2909319
AGENT,2.0,BHK,Independent Floor,mayur vihar phase 1,"9,300",450.0,Unfurnished,2 bathrooms,28.6036425,77.2909319
AGENT,1.0,BHK,Independent Floor,mayur vihar phase 1,"5,500",450.0,Unfurnished,1 bathrooms,28.6036425,77.2909319
AGENT,3.0,BHK,Independent Floor,Pitampura,"45,000",2000.0,Semi-Furnished,3 bathrooms,28.6995123,77.1301047
AGENT,3.0,BHK,Independent Floor,Chattarpur,"32,000",1500.0,Furnished,3 bathrooms,28.503846,77.183032
AGENT,3.0,BHK,Independent House,mayur vihar phase 1,"18,000",1050.0,Semi-Furnished,2 bathrooms,28.6036425,77.2909319
AGENT,1.0,BHK,Independent Floor,Dr Mukherji Nagar,"17,000",700.0,Unfurnished,2 bathrooms,28.7057279,77.21372495156884
AGENT,3.0,BHK,Independent Floor,Dr Mukherji Nagar,"38,000",1400.0,Semi-Furnished,3 bathrooms,28.7057279,77.21372495156884
AGENT,2.0,BHK,Independent Floor,Neb Sarai,"10,000",850.0,Semi-Furnished,2 bathrooms,28.5055007,77.2014964
AGENT,2.0,BHK,Independent Floor,Uttam Nagar,"10,000",450.0,Semi-Furnished,2 bathrooms,28.6215226,77.0611064
AGENT,1.0,BHK,Apartment,Pitampura,"20,000",700.0,Furnished,1 bathrooms,28.6995123,77.1301047
AGENT,1.0,RK,Studio Apartment,Shakurpur,"10,000",611.0,Furnished,1 bathrooms,28.6857668,77.1496094
