seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,Latitude,Longitude
OWNER,3.0,BHK,Independent House,Chetpet,"30,000",1800.0,Unfurnished,2 bathrooms,12.508648999999998,79.31449862307821
OWNER,2.0,BHK,Independent House,Purasawalkam,"14,000",500.0,Unfurnished,1 bathrooms,13.0893275,80.2550331
AGENT,3.0,BHK,Apartment,Thiruvanmiyur,"45,000",1851.0,Semi-Furnished,3 bathrooms,12.9858948,80.2644215
AGENT,4.0,BHK,Apartment,Raja Annamalai Puram,2.4,3255.0,Furnished,4 bathrooms,13.0244783,80.253937
AGENT,4.0,BHK,Apartment,Raja Annamalai Puram,2.4,3255.0,Furnished,4 bathrooms,13.0244783,80.253937
AGENT,4.0,BHK,Apartment,Raja Annamalai Puram,2.4,3255.0,Furnished,4 bathrooms,13.0244783,80.253937
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 bathrooms,13.0443237,80.2498455
OWNER,5.0,BHK,Independent House,Kovalam,"75,000",4000.0,Furnished,,8.4004698,76.9788156
AGENT,3.0,BHK,Apartment,Thiruvanmiyur,"38,000",1650.0,Semi-Furnished,3 bathrooms,12.9858948,80.2644215
AGENT,3.0,BHK,Independent House,Mahabalipuram,"65,000",2500.0,Furnished,3 bathrooms,12.6195981,80.1936497
OWNER,1.0,BHK,Independent House,Anna Nagar West Extension,"6,500",500.0,Semi-Furnished,1 bathrooms,Not found,Not found
OWNER,1.0,BHK,Independent Floor,Annanagar West,"6,000",350.0,Semi-Furnished,,Not found,Not found
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 bathrooms,13.1216772,80.2355902
